"Issue","ANES_Variable","Cor_to_Party_ID","Normalized_Variance","Point_Scale","Type","Source","URL"
"urban_unrest","v201429",0.641563379683091,0.150437042023262,7,"Security","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/urban_unrest.md"
"gov_assistance_blacks","v201258",0.567702406033936,0.11645747630872,7,"Economic","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/gov_assistance_blacks.md"
"blks_get_less_than_deserve","v202302",0.565174400694839,0.12253824721398,5,"Civil Rights","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/blks_get_less_than_deserve.md"
"protesters_actions","v201432x",0.55897881170181,0.141077962983585,5,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/protesters_actions.md"
"gov_guarantees_job","v201255",0.554517948006595,0.108084752699518,7,"Economic","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/gov_guarantees_job.md"
"climate_chng_severe","v202332",0.551409812115504,0.114623135074132,5,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/climate_chng_severe.md"
"gov_services","v201246",0.549632158437726,0.0917248174667793,7,"Economic","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/gov_services.md"
"climate_chng_importance","v202333",0.542188273395393,0.114671051916137,5,"Moral","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/climate_chng_importance.md"
"fs_border_security","v201308x",0.535563240489007,0.113395446138618,5,"Economic","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/fs_border_security.md"
"immigration_crime","v202239x",0.532701940687719,0.0445457241156435,7,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/immigration_crime.md"
"slavery_still_affects","v202301",0.522250027894502,0.133069087631473,5,"Civil Rights","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/slavery_still_affects.md"
"fs_environment","v201323x",0.504731446756452,0.0785427422997552,5,"Economic","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/fs_environment.md"
